Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Polkadot,Solana,Tether,"USD Coin",XRP
"2021-04-01 00:00",316.06790362,58031.03227972,1.16363992,0.06034618,1925.78372946,37.1763294,18.98171889,1.00005843,0.99918934,0.5609579
"2021-04-02 00:00",335.17038475,58713.94995236,1.18896237,0.05793116,2051.28807542,39.10430409,19.060198,0.99995985,0.99919894,0.58958123
"2021-04-03 00:00",332.80880865,58584.72372936,1.20056644,0.05793008,2074.62866817,43.5229249,22.24704943,1.00400199,1.00038371,0.61259051
"2021-04-04 00:00",347.13512352,58226.6713175,1.18953748,0.05737558,2070.575508,43.91837411,24.16865585,1.00466772,1.00092397,0.6170436
"2021-04-05 00:00",367.06036552,58836.98199396,1.21211717,0.05883688,2097.24905788,44.23327099,23.64356504,1.00372582,0.99820555,0.83267857
"2021-04-06 00:00",401.83709408,58710.22317792,1.26959735,0.06237928,2126.32924403,43.76150005,23.82673305,1.0038384,0.9983106,1.0240031
"2021-04-07 00:00",384.71157877,56878.91917194,1.21317738,0.0613202,2012.77554359,40.24011228,26.39625381,1.00404926,1.00018274,0.96953783
"2021-04-08 00:00",413.54710301,57717.81087935,1.21754296,0.06158829,2056.61338044,41.00589801,26.80160461,1.00148593,0.9997347,1.01290315
"2021-04-09 00:00",441.15331968,58346.96019177,1.21184092,0.06192734,2076.83893145,40.79350192,28.01853418,1.00292871,1.00004975,1.03722045
"2021-04-10 00:00",473.38791809,59944.25548536,1.22205732,0.06345283,2143.996838,41.45940419,27.20422354,0.99975001,0.99872324,1.3034299
"2021-04-11 00:00",505.20718362,60136.21634933,1.26689221,0.07393769,2152.32475216,41.23272753,27.39062919,1.0021412,0.99909692,1.39488117
"2021-04-12 00:00",591.72754868,60348.62737642,1.3222354,0.07186995,2157.43593745,40.79186612,28.24359818,1.00089663,0.99907794,1.39642792
"2021-04-13 00:00",556.41544133,62725.76305966,1.39046135,0.0869083,2260.45936662,41.79971885,27.5964571,0.99915839,0.99896477,1.72529
"2021-04-14 00:00",553.45668993,63366.07929718,1.46397211,0.12409388,2393.47354681,42.48132364,26.32140346,1.00041486,0.9993738,1.81970274
"2021-04-15 00:00",545.45841956,63144.25259842,1.46826001,0.15833536,2489.67894476,43.23751157,27.18475855,1.00068718,1.00054661,1.77212278
"2021-04-16 00:00",518.10987818,61905.84461334,1.42623817,0.33853323,2438.13064086,42.04961216,26.2610371,1.00265891,1.00041917,1.62190463
